pH,Redox,Leit,Trueb,Cl,Cl_2,EVENT
8.36,749,211,0.011,0.17,0.118,FALSE
8.36,749,211,0.011,0.17,0.118,FALSE
8.35,749,211,0.011,0.17,0.117,FALSE
8.35,749,211,0.011,0.17,0.118,FALSE
8.35,749,211,0.011,0.17,0.118,FALSE
8.35,749,211,0.012,0.17,0.118,FALSE
8.35,749,211,0.011,0.17,0.118,FALSE
8.35,749,211,0.011,0.17,0.118,FALSE
8.34,749,211,0.011,0.17,0.12,FALSE
8.34,749,211,0.011,0.17,0.118,FALSE
8.34,749,211,0.011,0.17,0.118,FALSE
8.34,749,211,0.011,0.17,0.12,FALSE
8.34,749,211,0.011,0.17,0.118,FALSE
8.34,749,211,0.011,0.17,0.118,FALSE
8.34,749,211,0.011,0.17,0.12,FALSE
8.34,749,211,0.011,0.17,0.117,FALSE
8.34,749,211,0.015,0.17,0.118,FALSE
8.34,749,211,0.012,0.17,0.121,FALSE
8.34,749,211,0.011,0.17,0.118,FALSE
8.34,749,211,0.012,0.17,0.12,FALSE
8.35,749,211,0.011,0.18,0.118,FALSE
8.35,749,211,0.011,0.18,0.12,FALSE
8.34,749,211,0.011,0.18,0.118,FALSE
8.34,749,211,0.011,0.18,0.118,FALSE
8.35,749,211,0.011,0.18,0.118,FALSE
8.35,749,211,0.011,0.18,0.118,FALSE
8.35,749,211,0.011,0.18,0.117,FALSE
8.36,749,211,0.011,0.18,0.118,FALSE
8.36,749,211,0.013,0.18,0.118,FALSE
8.36,749,211,0.011,0.18,0.117,FALSE
8.36,749,211,0.011,0.18,0.117,FALSE
8.37,749,211,0.011,0.18,0.118,FALSE
8.37,749,211,0.011,0.17,0.118,FALSE
8.37,749,211,0.01,0.17,0.118,FALSE
8.38,749,211,0.011,0.18,0.116,FALSE
8.38,749,211,0.01,0.17,0.117,FALSE
8.37,749,211,0.01,0.18,0.114,FALSE
8.38,749,211,0.01,0.17,0.116,FALSE
8.38,748,211,0.01,0.17,0.117,FALSE
8.38,749,211,0.01,0.17,0.117,FALSE
8.39,748,211,0.01,0.17,0.116,FALSE
8.39,749,211,0.01,0.17,0.118,FALSE
8.39,749,211,0.01,0.17,0.117,FALSE
8.39,748,211,0.01,0.17,0.118,FALSE
8.39,749,211,0.01,0.17,0.114,FALSE
8.39,748,211,0.01,0.17,0.116,FALSE
8.39,748,211,0.01,0.17,0.117,FALSE
8.39,749,207,0.01,0.17,0.116,FALSE
8.39,749,207,0.011,0.17,0.116,FALSE
8.39,747,207,0.011,0.17,0.117,FALSE
8.39,749,207,0.01,0.17,0.117,FALSE
8.39,749,207,0.01,0.17,0.114,FALSE
8.39,749,207,0.01,0.17,0.117,FALSE
8.39,748,207,0.01,0.17,0.117,FALSE
8.38,748,207,0.01,0.17,0.118,FALSE
8.38,749,207,0.01,0.17,0.117,FALSE
8.38,748,205,0.01,0.17,0.118,FALSE
8.38,748,205,0.01,0.17,0.118,FALSE
8.37,749,207,0.011,0.17,0.117,FALSE
8.38,749,206,0.011,0.17,0.118,FALSE
8.37,749,205,0.011,0.17,0.118,FALSE
8.36,749,205,0.011,0.17,0.118,FALSE
8.36,749,207,0.011,0.17,0.118,FALSE
8.36,750,207,0.01,0.17,0.118,FALSE
8.36,749,207,0.011,0.17,0.118,FALSE
8.36,749,207,0.01,0.17,0.118,FALSE
8.36,749,207,0.011,0.17,0.117,FALSE
8.36,749,207,0.01,0.17,0.118,FALSE
8.35,749,207,0.01,0.17,0.118,FALSE
8.35,749,207,0.011,0.17,0.118,FALSE
8.36,749,207,0.01,0.17,0.117,FALSE
8.35,749,207,0.01,0.17,0.118,FALSE
8.35,749,207,0.01,0.17,0.118,FALSE
8.35,749,207,0.01,0.17,0.118,FALSE
8.35,749,207,0.01,0.17,0.118,FALSE
8.35,750,207,0.01,0.17,0.118,FALSE
8.35,749,207,0.011,0.17,0.117,FALSE
8.35,750,207,0.011,0.16,0.116,FALSE
8.35,749,207,0.011,0.16,0.118,FALSE
8.35,750,207,0.011,0.16,0.116,FALSE
8.35,749,207,0.01,0.16,0.116,FALSE
8.35,750,207,0.01,0.16,0.116,FALSE
8.35,749,207,0.01,0.16,0.118,FALSE
8.35,749,207,0.01,0.17,0.118,FALSE
8.35,749,207,0.01,0.17,0.118,FALSE
8.35,749,207,0.01,0.17,0.114,FALSE
8.35,749,207,0.01,0.16,0.118,FALSE
8.36,749,207,0.01,0.17,0.118,FALSE
8.35,749,207,0.01,0.17,0.118,FALSE
8.35,749,207,0.01,0.17,0.118,FALSE
8.35,749,207,0.01,0.17,0.118,FALSE
8.35,749,207,0.01,0.16,0.118,FALSE
8.35,749,207,0.01,0.17,0.118,FALSE
8.35,749,207,0.016,0.17,0.118,FALSE
8.35,749,207,0.013,0.17,0.118,FALSE
8.35,749,207,0.011,0.17,0.118,FALSE
8.35,749,207,0.011,0.17,0.12,FALSE
8.35,749,207,0.01,0.17,0.118,FALSE
