pH,Redox,Leit,Trueb,Cl,Cl_2,EVENT
8.41,762,190,0.022,0.17,0.106,FALSE
8.41,762,190,0.022,0.18,0.106,FALSE
8.41,762,189,0.022,0.19,0.108,FALSE
8.41,762,190,0.022,0.18,0.108,FALSE
8.41,762,189,0.022,0.18,0.108,FALSE
8.41,762,190,0.022,0.18,0.108,FALSE
8.41,762,190,0.022,0.18,0.108,FALSE
8.41,762,190,0.024,0.18,0.108,FALSE
8.41,762,190,0.024,0.18,0.109,FALSE
8.41,762,189,0.022,0.18,0.109,FALSE
8.41,762,189,0.022,0.18,0.109,FALSE
8.41,762,189,0.023,0.18,0.109,FALSE
8.4,762,190,0.022,0.18,0.109,FALSE
8.4,762,189,0.022,0.18,0.108,FALSE
8.4,762,189,0.022,0.17,0.109,FALSE
8.4,762,189,0.022,0.17,0.108,FALSE
8.4,762,190,0.021,0.17,0.109,FALSE
8.39,762,190,0.022,0.17,0.109,FALSE
8.39,762,190,0.022,0.17,0.11,FALSE
8.39,762,190,0.022,0.17,0.109,FALSE
8.39,762,189,0.022,0.17,0.109,FALSE
8.39,762,190,0.022,0.17,0.11,FALSE
8.39,762,190,0.022,0.17,0.109,FALSE
8.39,762,190,0.022,0.17,0.11,FALSE
8.39,762,189,0.022,0.17,0.11,FALSE
8.39,762,189,0.022,0.17,0.11,FALSE
8.39,762,190,0.022,0.17,0.11,FALSE
8.39,762,190,0.022,0.17,0.109,FALSE
8.39,762,189,0.022,0.17,0.11,FALSE
8.39,762,189,0.022,0.18,0.11,FALSE
8.39,762,190,0.022,0.18,0.11,FALSE
8.39,762,189,0.022,0.18,0.11,FALSE
8.39,762,189,0.022,0.18,0.11,FALSE
8.41,762,190,0.022,0.18,0.11,FALSE
8.41,762,189,0.021,0.18,0.11,FALSE
8.42,762,190,0.021,0.18,0.11,FALSE
8.43,762,190,0.021,0.19,0.11,FALSE
8.43,762,189,0.021,0.19,0.109,FALSE
8.45,761,190,0.021,0.18,0.11,FALSE
8.45,762,189,0.021,0.18,0.109,FALSE
8.47,761,190,0.022,0.18,0.11,FALSE
8.49,761,189,0.022,0.18,0.109,FALSE
8.49,761,189,0.021,0.18,0.108,FALSE
8.51,760,190,0.021,0.18,0.108,FALSE
8.53,760,190,0.021,0.18,0.106,FALSE
8.54,760,190,0.022,0.18,0.108,FALSE
8.55,759,189,0.021,0.18,0.108,FALSE
8.55,760,189,0.021,0.18,0.108,FALSE
8.56,760,189,0.022,0.18,0.108,FALSE
8.56,760,190,0.022,0.18,0.108,FALSE
8.57,759,190,0.021,0.17,0.108,FALSE
8.58,759,190,0.021,0.17,0.106,FALSE
8.58,760,189,0.022,0.17,0.108,FALSE
8.59,759,190,0.021,0.17,0.109,FALSE
8.59,759,190,0.021,0.17,0.11,FALSE
8.59,760,190,0.022,0.17,0.109,FALSE
8.59,759,189,0.021,0.17,0.11,FALSE
8.59,759,189,0.022,0.17,0.11,FALSE
8.59,759,190,0.022,0.17,0.111,FALSE
8.58,760,190,0.021,0.17,0.111,FALSE
8.58,760,190,0.021,0.17,0.113,FALSE
8.58,760,190,0.021,0.17,0.113,FALSE
8.57,760,190,0.021,0.17,0.114,FALSE
8.57,760,189,0.021,0.17,0.116,FALSE
8.56,761,189,0.021,0.17,0.117,FALSE
8.56,762,189,0.021,0.17,0.117,FALSE
8.55,761,190,0.021,0.17,0.116,FALSE
8.55,761,190,0.021,0.18,0.118,FALSE
8.54,761,190,0.021,0.18,0.118,FALSE
8.54,762,190,0.021,0.18,0.118,FALSE
